CCNA_00089 	54.6342597606	43.4695838195	5.9440467965	9.0787709975	4.123857005	x	x
CCNA_00090 	9.7213728051	5.8705512813	x	x	x	x	x
CCNA_00091 	48.3276857795	26.936531149	13.3408694214	64.2912798334	39.1229715982	25.237803459	x
CCNA_00092 	28.5748108394	13.7383569768	5.4075242205	x	x	x	x
CCNA_00093 	50.1478193998	47.2945227321	x	x	x	x	x
CCNA_00094 	82.0914032087	22.4197313748	x	x	x	x	x
CCNA_00095 	x	3.6640421656	x	x	x	x	x
CCNA_00096 	15.0970940957	7.0281378271	7.1887621737	x	x	x	x
CCNA_00097 	x	x	x	x	x	x	x
CCNA_00098 	x	14.1855287637	x	x	x	x	x
CCNA_00099 	24.8569321406	19.9150884305	3.0555355754	5.8240668821	x	x	x
CCNA_00100 	104.546990355	21.241818805	x	x	7.0439366608	x	x
CCNA_00101 	35.0351619653	13.7410464168	x	7.9641132973	x	x	x
CCNA_00102 	x	x	x	x	x	x	x
CCNA_00103 	13.9871201359	8.7202503228	6.5553504683	x	x	x	x
CCNA_00104 	31.6616760228	11.5739434635	x	x	x	x	x
CCNA_00105 	20.0944163401	4.9114175519	x	x	x	x	x
CCNA_00106 	32.4101124356	11.1110630435	5.7379392623	x	4.5064391951	x	x
CCNA_00107 	56.3320682538	32.4835007222	x	x	x	x	x
CCNA_00108 	28.6860864557	27.8507119375	x	x	x	x	x
CCNA_00109 	52.4627632319	22.4985536843	8.4250053684	x	x	x	x
CCNA_00110 	28.6329940691	x	x	x	x	x	x
CCNA_00111 	47.9334384769	22.5940569283	19.2482479945	14.7803852231	x	x	x
CCNA_00112 	19.8111565374	21.4444190179	12.5747897715	x	x	x	x
CCNA_00113 	x	x	x	x	x	x	x
CCNA_00114 	x	x	x	x	x	x	x
CCNA_00115 	17.9641783028	13.4730801002	20.3581361105	19.3589808507	8.7088779433	x	x
CCNA_00116 	61.033963789	28.0162436578	x	25.9877900967	13.4317906937	x	x
CCNA_00117 	25.32148822	12.6201842435	6.6325218259	x	x	x	x
CCNA_00118 	16.5606430158	11.7940441069	15.7582282014	5.4243447976	1.8516841263	x	x
CCNA_00119 	31.4279717982	19.2106386456	24.4733689251	x	x	x	x
CCNA_00120 	15.1750399439	11.2507491642	15.2310163816	x	x	x	x
CCNA_00121 	23.2205787171	6.7365775242	x	x	x	x	x
CCNA_00122 	31.953945898	9.8943102047	x	x	x	x	x
CCNA_00123 	28.9734364266	15.9279825312	25.8280641986	19.6913210489	x	x	x
CCNA_00124 	121.571651465	80.3020953224	22.5803061259	105.902506377	24.4174646484	9.1719327562	x
CCNA_00125 	30.4569840085	9.5797150333	x	x	x	x	x
CCNA_00126 	60.2132600981	34.3940014557	10.6617114671	50.4459068312	10.6049215808	x	x
CCNA_00127 	x	x	x	x	x	x	x
CCNA_00128 	154.256516293	127.088337323	65.5756129599	138.160476071	10.2959690653	x	x
CCNA_00129 	93.2448749492	90.4392769589	29.6407359682	x	x	x	x
CCNA_00130 	103.036862867	70.9552682275	9.8373908609	5.1405818929	x	x	x
CCNA_00131 	41.637229754	x	x	x	x	x	x
CCNA_00132 	28.321534107	10.0702477629	4.9310415535	x	x	x	x
